9,607 KSK Rochade 4,,9,130 Moretus Hoboken 1,,9,438 Deinze 1,,9,607 KSK Rochade 6
10,607 KSK Rochade 5,,10,135 Geel 2,,10,304 Tielt 1,,10,547 Renaissance Binche 1
11,121 TUSK 1,,11,121 TUSK 2,,11,401 KGSRL 7,,11,902 C.E.Sambrevillois 1
12,622 Herve 1,,12,124 Deurne 2,,12,430 Landegem 2,,12,525 Anderlues 1

,Division 4E Afdeling,,,Division 4F Afdeling,,,Division 4G Afdeling,,,Division 4H Afdeling
1,207 2 Fous Diogène 2,,1,207 2 Fous Diogène 3,,1,401 KGSRL 9,,1,301 KOSK 4
2,230 Leuven Centraal 4,,2,244 Brussels 3,,2,471 Wachtebeke 2,,2,471 Wachtebeke 3
3,432 Wetteren 4,,3,114 Mechelen 3,,3,109 Borgerhout 3,,3,432 Wetteren 5
4,233 DZD Halle 1,,4,230 Leuven Centraal 5,,4,436 LSV-Chesspirant 4,,4,436 LSV-Chesspirant 5
5,401 KGSRL 8,,5,229 Woluwé 1,,5,166 TSM Mechelen 3,,5,417 Pion-Aalst 2
6,226 Europchess 3,,6,601 CRELEL 7,,6,194 ChessLooks Lier 2,,6,462 Zottegem 2
7,902 C.E.Sambrevillois 2,,7,226 Europchess 4,,7,132 Oude God 3,,7,303 KBSK Brugge 5
8,278 Pantin 3,,8,278 Pantin 4,,8,465 Artevelde 2,,8,472 De Mercatel 3
9,261 Gambiet Opwijk 2,,9,201 CREB Bruxelles 2,,9,130 Moretus Hoboken 2,,9,402 Jean Jaurès Gent 2
10,209 The Belgian CC 2,,10,209 The Belgian CC 3,,10,230 Leuven Centraal 6,,10,460 Oudenaarde 1
11,961 Braine Echecs 1,,11,231 Dolle Toren Leuven 3,,11,121 TUSK 3,,11,401 KGSRL 10
12,525 Anderlues 2,,12,952 Wavre 3,,12,124 Deurne 3,,12,430 Landegem 3

,Division 5A Afdeling,,,Division 5B Afdeling,,,Division 5C Afdeling,,,Division 5D Afdeling
1,901 Namur Echecs 4,,1,901 Namur Echecs 5,,1,623 Sankt Vith 1,,1,301 KOSK 5
2,244 Brussels 4,,2,548 Caïssa Europe 3,,2,811 Arlon 1,,2,340 Izegem 2
3,114 Mechelen 4,,3,902 C.E.Sambrevillois 3,,3,627 Wirtzfeld 3,,3,422 MSV 2
4,239 Boitsfort 3,,4,909 Philippeville 2,,4,816 Bastogne 1,,4,309 KRST 2
5,230 Leuven Centraal 7,,5,551 HCC Jurbise 2,,5,604 KSK47-Eynatten 3,,5,313 KWSLE 2
6,261 Gambiet Opwijk 3,,6,549 Saint-Ghislain 1,,6,601 CRELEL 8,,6,307 Bredene 2
7,226 Europchess 5,,7,501 CREC Charleroi 3,,7,703 Eisden/MSK-Dilsen 2,,7,303 KBSK Brugge 6
8,278 Pantin 5,,8,000 BYE 5,,8,618 Echiquier Mosan 3,,8,475 Rapid Aalter 1
9,201 CREB Bruxelles 3,,9,518 Soignies 1,,9,607 KSK Rochade 7,,9,322 KVSK Veurne 1
10,952 Wavre 4,,10,514 MCC 2,,10,609 Anthisnes 1,,10,351 Knokke Schaak 1
11,961 Braine Echecs 2,,11,953 Nivelles 1,,11,619 Welkenraedt 1,,11,401 KGSRL 11
12,207 2 Fous Diogène 4,,12,525 Anderlues 3,,12,000 BYE 5,,12,000 BYE 5

,Division 5E Afdeling,,,Division 5F Afdeling,,,Division 5G Afdeling,,,Division 5H Afdeling
1,727 Midden Limburg 3,,1,727 Midden Limburg 4,,1,174 Brasschaat 4,,1,302 KISK Ieper 3
2,176 Rokade Westerlo 2,,2,176 Rokade Westerlo 3,,2,176 Rokade Westerlo 4,,2,340 Izegem 3
3,621 T.A.L 621 3,,3,114 Mechelen 5,,3,114 Mechelen 6,,3,432 Wetteren 6
4,162 Mol 1,,4,162 Mol 2,,4,162 Mol 3,,4,309 KRST 3
5,714 Overpelt 2,,5,166 TSM Mechelen 4,,5,194 ChessLooks Lier 3,,5,313 KWSLE 3
6,601 CRELEL 9,,6,261 Gambiet Opwijk 4,,6,128 Beveren 2,,6,401 KGSRL 13
7,703 Eisden/MSK-Dilsen 3,,7,132 Oude God 4,,7,132 Oude God 5,,7,303 KBSK Brugge 7
8,736 Heusden 1,,8,278 Pantin 6,,8,401 KGSRL 12,,8,475 Rapid Aalter 2
9,000 BYE 5,,9,230 Leuven Centraal 8,,9,130 Moretus Hoboken 3,,9,438 Deinze 2
10,135 Geel 3,,10,260 Kapelle-op-den Bos 2,,10,230 Leuven Centraal 9,,10,304 Tielt 2
11,121 TUSK 4,,11,231 Dolle Toren Leuven 4,,11,195 Chessmates  1,,11,436 LSV-Chesspirant 6
12,182 Noorderwijk 1,,12,124 Deurne 4,,12,124 Deurne 5,,12,000 BYE 5

,Division 5I Afdeling,,,Division 5J Afdeling,,,Division 5K Afdeling,,,Division 5L Afdeling
1,207 2 Fous Diogène 5,,1,000 BYE 5,,1,174 Brasschaat 5,,1,727 Midden Limburg 5
2,244 Brussels 5,,2,471 Wachtebeke 4,,2,401 KGSRL 16,,2,712 Landen 2
3,228 Dworp 3,,3,114 Mechelen 7,,3,114 Mechelen 8,,3,621 T.A.L 621 4
4,233 DZD Halle 2,,4,239 Boitsfort 4,,4,196 De Rode Loper 1,,4,609 Anthisnes 2
5,401 KGSRL 14,,5,417 Pion-Aalst 3,,5,166 TSM Mechelen 5,,5,230 Leuven Centraal 12
6,541 Leuze 2,,6,462 Zottegem 3,,6,128 Beveren 3,,6,601 CRELEL 10
7,548 Caïssa Europe 4,,7,230 Leuven Centraal 10,,7,132 Oude God 6,,7,666 666 1
8,278 Pantin 7,,8,278 Pantin 8,,8,230 Leuven Centraal 11,,8,618 Echiquier Mosan 4
9,201 CREB Bruxelles 4,,9,261 Gambiet Opwijk 5,,9,130 Moretus Hoboken 4,,9,703 Eisden/MSK-Dilsen 4
10,514 MCC 3,,10,209 The Belgian CC 4,,10,143 Boey Temse 2,,10,607 KSK Rochade 8
11,961 Braine Echecs 3,,11,436 LSV-Chesspirant 7,,11,195 Chessmates  2,,11,962 CCBBE 1
12,000 BYE 5,,12,401 KGSRL 15,,12,190 Burcht 1,,12,733 St.-Truiden 1

,Division 5M Afdeling,,,Division 5N Afdeling,,,Division 5O Afdeling,,,Division 5P Afdeling
1,401 KGSRL 17,,1,174 Brasschaat 6,,1,207 2 Fous Diogène 6,,1,901 Namur Echecs 6
2,471 Wachtebeke 5,,2,109 Borgerhout 4,,2,176 Rokade Westerlo 5,,2,230 Leuven Centraal 14
3,432 Wetteren 7,,3,101 KASK 3,,3,114 Mechelen 8,,3,521 Tournai 3
4,422 MSV 3,,4,436 LSV-Chesspirant 9,,4,239 Boitsfort 5,,4,909 Philippeville 3
5,313 KWSLE 4,,5,401 KGSRL 18,,5,229 Woluwé 2,,5,551 HCC Jurbise 3
6,462 Zottegem 4,,6,128 Beveren 4,,6,261 Gambiet Opwijk 6,,6,541 Leuze 3
7,465 Artevelde 3,,7,132 Oude God 7,,7,204 Excelsior 1,,7,501 CREC Charleroi 4
8,472 De Mercatel 4,,8,410 St.-Niklaas 2,,8,278 Pantin 9,,8,548 Caïssa Europe 5
9,402 Jean Jaurès Gent 3,,9,130 Moretus Hoboken 5,,9,401 KGSRL 19,,9,902 C.E.Sambrevillois 4
10,460 Oudenaarde 2,,10,143 Boey Temse 3,,10,260 Kapelle-op-den Bos 3,,10,514 MCC 4
11,436 LSV-Chesspirant 8,,11,425 Dendermonde 2,,11,231 Dolle Toren Leuven 5,,11,953 Nivelles 2
12,404 Drie Torens 1,,12,190 Burcht 2,,12,230 Leuven Centraal 13,,12,549 Saint-Ghislain 2
